owning_module,model_id,model_name,table_name_guess,table_exists,state,abstract,transient,is_mail_thread,is_mail_activity,is_mail_blacklist,create_date,write_date
api_doc,30,ir.attachment,ir_attachment,true,base,f,f,f,f,f,,
auth_passkey,140,auth.passkey.key,auth_passkey_key,true,base,f,f,f,f,f,,
auth_passkey,141,auth.passkey.key.create,auth_passkey_key_create,true,base,f,t,f,f,f,,
auth_passkey,102,res.users,res_users,true,base,f,f,f,f,f,,
auth_passkey,103,res.users.identitycheck,res_users_identitycheck,true,base,f,t,f,f,f,,
auth_signup,66,ir.http,ir_http,false,base,t,f,f,f,f,,
auth_signup,95,res.config.settings,res_config_settings,true,base,f,t,f,f,f,,
auth_signup,90,res.partner,res_partner,true,base,f,f,t,t,t,,
auth_signup,102,res.users,res_users,true,base,f,f,f,f,f,,
auth_totp,129,auth.totp.rate.limit.log,auth_totp_rate_limit_log,true,base,f,t,f,f,f,,
auth_totp,128,auth_totp.device,auth_totp_device,true,base,f,f,f,f,f,,
auth_totp,130,auth_totp.wizard,auth_totp_wizard,true,base,f,t,f,f,f,,
auth_totp,102,res.users,res_users,true,base,f,f,f,f,f,,
auth_totp_mail,128,auth_totp.device,auth_totp_device,true,base,f,f,f,f,f,,
auth_totp_mail,95,res.config.settings,res_config_settings,true,base,f,t,f,f,f,,
auth_totp_mail,102,res.users,res_users,true,base,f,f,f,f,f,,
auth_totp_portal,102,res.users,res_users,true,base,f,f,f,f,f,,
base,2,_unknown,_unknown,false,base,t,f,f,f,f,,
base,82,avatar.mixin,avatar_mixin,false,base,t,f,f,f,f,,
base,1,base,base,false,base,t,f,f,f,f,,
base,80,base.enable.profiling.wizard,base_enable_profiling_wizard,true,base,f,t,f,f,f,,
base,121,base.language.export,base_language_export,true,base,f,t,f,f,f,,
base,118,base.language.import,base_language_import,true,base,f,t,f,f,f,,
base,117,base.language.install,base_language_install,true,base,f,t,f,f,f,,
base,120,base.module.uninstall,base_module_uninstall,true,base,f,t,f,f,f,,
base,116,base.module.update,base_module_update,true,base,f,t,f,f,f,,
base,119,base.module.upgrade,base_module_upgrade,true,base,f,t,f,f,f,,
base,123,base.partner.merge.automatic.wizard,base_partner_merge_automatic_wizard,true,base,f,t,f,f,f,,
base,122,base.partner.merge.line,base_partner_merge_line,true,base,f,t,f,f,f,,
base,106,change.password.own,change_password_own,true,base,f,t,f,f,f,,
base,105,change.password.user,change_password_user,true,base,f,t,f,f,f,,
base,104,change.password.wizard,change_password_wizard,true,base,f,t,f,f,f,,
base,114,decimal.precision,decimal_precision,true,base,f,f,f,f,f,,
base,88,format.address.mixin,format_address_mixin,false,base,t,f,f,f,f,,
base,87,format.vat.label.mixin,format_vat_label_mixin,false,base,t,f,f,f,f,,
base,81,image.mixin,image_mixin,false,base,t,f,f,f,f,,
base,22,ir.actions.act_url,ir_actions_act_url,false,base,f,f,f,f,f,,
base,19,ir.actions.act_window,ir_actions_act_window,false,base,f,f,f,f,f,,
base,20,ir.actions.act_window.view,ir_actions_act_window_view,false,base,f,f,f,f,f,,
base,21,ir.actions.act_window_close,ir_actions_act_window_close,false,base,f,f,f,f,f,,
base,18,ir.actions.actions,ir_actions_actions,false,base,f,f,f,f,f,,
base,27,ir.actions.client,ir_actions_client,false,base,f,f,f,f,f,,
base,29,ir.actions.report,ir_actions_report,false,base,f,f,f,f,f,,
base,25,ir.actions.server,ir_actions_server,false,base,f,f,t,t,f,,
base,24,ir.actions.server.history,ir_actions_server_history,true,base,f,f,f,f,f,,
base,26,ir.actions.todo,ir_actions_todo,true,base,f,f,f,f,f,,
base,17,ir.asset,ir_asset,true,base,f,f,f,f,f,,
base,30,ir.attachment,ir_attachment,true,base,f,f,f,f,f,,
base,41,ir.autovacuum,ir_autovacuum,false,base,t,f,f,f,f,,
base,31,ir.binary,ir_binary,false,base,t,f,f,f,f,,
base,40,ir.config_parameter,ir_config_parameter,true,base,f,f,f,f,f,,
base,32,ir.cron,ir_cron,true,base,f,f,t,t,f,,
base,34,ir.cron.progress,ir_cron_progress,true,base,f,f,f,f,f,,
base,33,ir.cron.trigger,ir_cron_trigger,true,base,f,f,f,f,f,,
base,36,ir.default,ir_default,true,base,f,f,f,f,f,,
base,72,ir.demo,ir_demo,true,base,f,t,f,f,f,,
base,73,ir.demo_failure,ir_demo_failure,true,base,f,t,f,f,f,,
base,74,ir.demo_failure.wizard,ir_demo_failure_wizard,true,base,f,t,f,f,f,,
base,28,ir.embedded.actions,ir_embedded_actions,true,base,f,f,f,f,f,,
base,37,ir.exports,ir_exports,true,base,f,f,f,f,f,,
base,38,ir.exports.line,ir_exports_line,true,base,f,f,f,f,f,,
base,43,ir.fields.converter,ir_fields_converter,false,base,t,f,f,f,f,,
base,35,ir.filters,ir_filters,true,base,f,f,f,f,f,,
base,66,ir.http,ir_http,false,base,t,f,f,f,f,,
base,67,ir.logging,ir_logging,true,base,f,f,f,f,f,,
base,42,ir.mail_server,ir_mail_server,true,base,f,f,f,f,f,,
base,3,ir.model,ir_model,true,base,f,f,f,f,f,,
base,9,ir.model.access,ir_model_access,true,base,f,f,f,f,f,,
base,7,ir.model.constraint,ir_model_constraint,true,base,f,f,f,f,f,,
base,10,ir.model.data,ir_model_data,true,base,f,f,f,f,f,,
base,4,ir.model.fields,ir_model_fields,true,base,f,f,f,f,f,,
base,6,ir.model.fields.selection,ir_model_fields_selection,true,base,f,f,f,f,f,,
base,5,ir.model.inherit,ir_model_inherit,true,base,f,f,f,f,f,,
base,8,ir.model.relation,ir_model_relation,true,base,f,f,f,f,f,,
base,68,ir.module.category,ir_module_category,true,base,f,f,f,f,f,,
base,69,ir.module.module,ir_module_module,true,base,f,f,f,f,f,,
base,70,ir.module.module.dependency,ir_module_module_dependency,true,base,f,f,f,f,f,,
base,71,ir.module.module.exclusion,ir_module_module_exclusion,true,base,f,f,f,f,f,,
base,79,ir.profile,ir_profile,true,base,f,f,f,f,f,,
base,44,ir.qweb,ir_qweb,false,base,t,f,f,f,f,,
base,45,ir.qweb.field,ir_qweb_field,false,base,t,f,f,f,f,,
base,63,ir.qweb.field.barcode,ir_qweb_field_barcode,false,base,t,f,f,f,f,,
base,64,ir.qweb.field.contact,ir_qweb_field_contact,false,base,t,f,f,f,f,,
base,48,ir.qweb.field.date,ir_qweb_field_date,false,base,t,f,f,f,f,,
base,49,ir.qweb.field.datetime,ir_qweb_field_datetime,false,base,t,f,f,f,f,,
base,61,ir.qweb.field.duration,ir_qweb_field_duration,false,base,t,f,f,f,f,,
base,47,ir.qweb.field.float,ir_qweb_field_float,false,base,t,f,f,f,f,,
base,59,ir.qweb.field.float_time,ir_qweb_field_float_time,false,base,t,f,f,f,f,,
base,55,ir.qweb.field.html,ir_qweb_field_html,false,base,t,f,f,f,f,,
base,56,ir.qweb.field.image,ir_qweb_field_image,false,base,t,f,f,f,f,,
base,57,ir.qweb.field.image_url,ir_qweb_field_image_url,false,base,t,f,f,f,f,,
base,46,ir.qweb.field.integer,ir_qweb_field_integer,false,base,t,f,f,f,f,,
base,53,ir.qweb.field.many2many,ir_qweb_field_many2many,false,base,t,f,f,f,f,,
base,52,ir.qweb.field.many2one,ir_qweb_field_many2one,false,base,t,f,f,f,f,,
base,58,ir.qweb.field.monetary,ir_qweb_field_monetary,false,base,t,f,f,f,f,,
base,54,ir.qweb.field.one2many,ir_qweb_field_one2many,false,base,t,f,f,f,f,,
base,65,ir.qweb.field.qweb,ir_qweb_field_qweb,false,base,t,f,f,f,f,,
base,62,ir.qweb.field.relative,ir_qweb_field_relative,false,base,t,f,f,f,f,,
base,51,ir.qweb.field.selection,ir_qweb_field_selection,false,base,t,f,f,f,f,,
base,50,ir.qweb.field.text,ir_qweb_field_text,false,base,t,f,f,f,f,,
base,60,ir.qweb.field.time,ir_qweb_field_time,false,base,t,f,f,f,f,,
base,39,ir.rule,ir_rule,true,base,f,f,f,f,f,,
base,11,ir.sequence,ir_sequence,true,base,f,f,f,f,f,,
base,12,ir.sequence.date_range,ir_sequence_date_range,true,base,f,f,f,f,f,,
base,13,ir.ui.menu,ir_ui_menu,true,base,f,f,f,f,f,,
base,15,ir.ui.view,ir_ui_view,true,base,f,f,f,f,f,,
base,14,ir.ui.view.custom,ir_ui_view_custom,true,base,f,f,f,f,f,,
base,75,properties.base.definition,properties_base_definition,true,base,f,f,f,f,f,,
base,76,properties.base.definition.mixin,properties_base_definition_mixin,false,base,t,f,f,f,f,,
base,115,report.base.report_irmodulereference,report_base_report_irmodulereference,false,base,t,f,f,f,f,,
base,77,report.layout,report_layout,true,base,f,f,f,f,f,,
base,78,report.paperformat,report_paperformat,true,base,f,f,f,f,f,,
base,92,res.bank,res_bank,true,base,f,f,f,f,f,,
base,98,res.company,res_company,true,base,f,f,f,f,f,,
base,94,res.config,res_config,true,base,f,t,f,f,f,,
base,95,res.config.settings,res_config_settings,true,base,f,t,f,f,f,,
base,83,res.country,res_country,true,base,f,f,f,f,f,,
base,84,res.country.group,res_country_group,true,base,f,f,f,f,f,,
base,85,res.country.state,res_country_state,true,base,f,f,f,f,f,,
base,96,res.currency,res_currency,true,base,f,f,f,f,f,,
base,97,res.currency.rate,res_currency_rate,true,base,f,f,f,f,f,,
base,113,res.device,res_device,true,base,f,f,f,f,f,,
base,112,res.device.log,res_device_log,true,base,f,f,f,f,f,,
base,100,res.groups,res_groups,true,base,f,f,f,f,f,,
base,99,res.groups.privilege,res_groups_privilege,true,base,f,f,f,f,f,,
base,86,res.lang,res_lang,true,base,f,f,f,f,f,,
base,90,res.partner,res_partner,true,base,f,f,t,t,t,,
base,93,res.partner.bank,res_partner_bank,true,base,f,f,f,f,f,,
base,89,res.partner.category,res_partner_category,true,base,f,f,f,f,f,,
base,91,res.partner.industry,res_partner_industry,true,base,f,f,f,f,f,,
base,102,res.users,res_users,true,base,f,f,f,f,f,,
base,107,res.users.apikeys,res_users_apikeys,true,base,f,f,f,f,f,,
base,108,res.users.apikeys.description,res_users_apikeys_description,true,base,f,t,f,f,f,,
base,109,res.users.apikeys.show,res_users_apikeys_show,false,base,t,f,f,f,f,,
base,111,res.users.deletion,res_users_deletion,true,base,f,f,f,f,f,,
base,103,res.users.identitycheck,res_users_identitycheck,true,base,f,t,f,f,f,,
base,101,res.users.log,res_users_log,true,base,f,f,f,f,f,,
base,110,res.users.settings,res_users_settings,true,base,f,f,f,f,f,,
base,16,reset.view.arch.wizard,reset_view_arch_wizard,true,base,f,t,f,f,f,,
base,23,server.action.history.wizard,server_action_history_wizard,true,base,f,t,f,f,f,,
base,124,wizard.ir.model.menu.create,wizard_ir_model_menu_create,true,base,f,t,f,f,f,,
base_import,1,base,base,false,base,t,f,f,f,f,,
base_import,132,base_import.import,base_import_import,true,base,f,t,f,f,f,,
base_import,131,base_import.mapping,base_import_mapping,true,base,f,f,f,f,f,,
base_import,102,res.users,res_users,true,base,f,f,f,f,f,,
base_import_module,133,base.import.module,base_import_module,true,base,f,t,f,f,f,,
base_import_module,120,base.module.uninstall,base_module_uninstall,true,base,f,t,f,f,f,,
base_import_module,66,ir.http,ir_http,false,base,t,f,f,f,f,,
base_import_module,69,ir.module.module,ir_module_module,true,base,f,f,f,f,f,,
base_import_module,15,ir.ui.view,ir_ui_view,true,base,f,f,f,f,f,,
base_install_request,374,base.module.install.request,base_module_install_request,true,base,f,t,f,f,f,,
base_install_request,375,base.module.install.review,base_module_install_review,true,base,f,t,f,f,f,,
base_install_request,69,ir.module.module,ir_module_module,true,base,f,f,f,f,f,,
base_setup,66,ir.http,ir_http,false,base,t,f,f,f,f,,
base_setup,134,kpi.provider,kpi_provider,false,base,t,f,f,f,f,,
base_setup,95,res.config.settings,res_config_settings,true,base,f,t,f,f,f,,
base_setup,102,res.users,res_users,true,base,f,f,f,f,f,,
bus,135,bus.bus,bus_bus,true,base,f,f,f,f,f,,
bus,136,bus.listener.mixin,bus_listener_mixin,false,base,t,f,f,f,f,,
bus,30,ir.attachment,ir_attachment,true,base,f,f,f,f,f,,
bus,66,ir.http,ir_http,false,base,t,f,f,f,f,,
bus,3,ir.model,ir_model,true,base,f,f,f,f,f,,
bus,44,ir.qweb,ir_qweb,false,base,t,f,f,f,f,,
bus,137,ir.websocket,ir_websocket,false,base,t,f,f,f,f,,
bus,100,res.groups,res_groups,true,base,f,f,f,f,f,,
bus,90,res.partner,res_partner,true,base,f,f,t,t,t,,
bus,102,res.users,res_users,true,base,f,f,f,f,f,,
bus,110,res.users.settings,res_users_settings,true,base,f,f,f,f,f,,
calendar,379,calendar.alarm,calendar_alarm,true,base,f,f,f,f,f,,
calendar,380,calendar.alarm_manager,calendar_alarm_manager,false,base,t,f,f,f,f,,
calendar,376,calendar.attendee,calendar_attendee,true,base,f,f,f,f,f,,
calendar,378,calendar.event,calendar_event,true,base,f,f,t,f,f,,
calendar,382,calendar.event.type,calendar_event_type,true,base,f,f,f,f,f,,
calendar,381,calendar.filters,calendar_filters,true,base,f,f,f,f,f,,
calendar,384,calendar.popover.delete.wizard,calendar_popover_delete_wizard,true,base,f,t,f,f,f,,
calendar,383,calendar.provider.config,calendar_provider_config,true,base,f,t,f,f,f,,
calendar,377,calendar.recurrence,calendar_recurrence,true,base,f,f,f,f,f,,
calendar,223,discuss.channel,discuss_channel,true,base,f,f,t,f,f,,
calendar,66,ir.http,ir_http,false,base,t,f,f,f,f,,
calendar,178,mail.activity,mail_activity,true,base,f,f,f,f,f,,
calendar,164,mail.activity.mixin,mail_activity_mixin,false,base,t,f,f,t,f,,
calendar,234,mail.activity.schedule,mail_activity_schedule,true,base,f,t,f,f,f,,
calendar,177,mail.activity.type,mail_activity_type,true,base,f,f,f,f,f,,
calendar,90,res.partner,res_partner,true,base,f,f,t,t,t,,
calendar,102,res.users,res_users,true,base,f,f,f,f,f,,
calendar,110,res.users.settings,res_users_settings,true,base,f,f,f,f,f,,
calendar_sms,379,calendar.alarm,calendar_alarm,true,base,f,f,f,f,f,,
calendar_sms,380,calendar.alarm_manager,calendar_alarm_manager,false,base,t,f,f,f,f,,
calendar_sms,378,calendar.event,calendar_event,true,base,f,f,t,f,f,,
contacts,90,res.partner,res_partner,true,base,f,f,t,t,t,,
contacts,102,res.users,res_users,true,base,f,f,f,f,f,,
crm,378,calendar.event,calendar_event,true,base,f,f,t,f,f,,
crm,427,crm.activity.report,crm_activity_report,true,base,f,f,f,f,f,,
crm,421,crm.lead,crm_lead,true,base,f,f,t,t,t,,
crm,428,crm.lead.lost,crm_lead_lost,true,base,f,t,f,f,f,,
crm,432,crm.lead.pls.update,crm_lead_pls_update,true,base,f,t,f,f,f,,
crm,424,crm.lead.scoring.frequency,crm_lead_scoring_frequency,true,base,f,f,f,f,f,,
crm,425,crm.lead.scoring.frequency.field,crm_lead_scoring_frequency_field,true,base,f,f,f,f,f,,
crm,429,crm.lead2opportunity.partner,crm_lead2opportunity_partner,true,base,f,t,f,f,f,,
crm,430,crm.lead2opportunity.partner.mass,crm_lead2opportunity_partner_mass,true,base,f,t,f,f,f,,
crm,422,crm.lost.reason,crm_lost_reason,true,base,f,f,f,f,f,,
crm,431,crm.merge.opportunity,crm_merge_opportunity,true,base,f,t,f,f,f,,
crm,426,crm.recurring.plan,crm_recurring_plan,true,base,f,f,f,f,f,,
crm,420,crm.stage,crm_stage,true,base,f,f,f,f,f,,
crm,399,crm.team,crm_team,true,base,f,f,t,f,f,,
crm,398,crm.team.member,crm_team_member,true,base,f,f,t,f,f,,
crm,418,digest.digest,digest_digest,true,base,f,f,f,f,f,,
crm,40,ir.config_parameter,ir_config_parameter,true,base,f,f,f,f,f,,
crm,178,mail.activity,mail_activity,true,base,f,f,f,f,f,,
crm,95,res.config.settings,res_config_settings,true,base,f,t,f,f,f,,
crm,90,res.partner,res_partner,true,base,f,f,t,t,t,,
crm,102,res.users,res_users,true,base,f,f,f,f,f,,
crm,154,utm.campaign,utm_campaign,true,base,f,f,f,f,f,,
crm_iap_enrich,421,crm.lead,crm_lead,true,base,f,f,t,t,t,,
crm_iap_enrich,95,res.config.settings,res_config_settings,true,base,f,t,f,f,f,,
crm_iap_mine,433,crm.iap.lead.helpers,crm_iap_lead_helpers,true,base,f,f,f,f,f,,
crm_iap_mine,434,crm.iap.lead.industry,crm_iap_lead_industry,true,base,f,f,f,f,f,,
crm_iap_mine,437,crm.iap.lead.mining.request,crm_iap_lead_mining_request,true,base,f,f,f,f,f,,
